kode_pendaftar,nama,penghasilan,pekerjaan,status,tanggungan,nilai_raport,nilai_tes,prestasi,pkh,kks,kip,target
P0646,Joko Pratama,Rendah,Formal,Yatim Piatu,Sedang,Tinggi,Rendah,Banyak,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P0647,Sari Putri,Sangat Rendah,Formal,Piatu,Sedang,Tinggi,Tinggi,Banyak,Ada,Tidak Ada,Ada,Tidak Layak
P0648,Rina Pratama,Menengah,Formal,Yatim,Sedikit,Rendah,Tinggi,Banyak,Tidak Ada,Ada,Tidak Ada,Layak
P0649,Andi Sari,Sangat Rendah,Informal,Piatu,Banyak,Tinggi,Sedang,Tidak Ada,Ada,Ada,Tidak Ada,Layak
P0650,Tono Wijaya,Menengah,Tidak Bekerja,Single Parent,Banyak,Tinggi,Tinggi,Banyak,Ada,Tidak Ada,Tidak Ada,Layak
P0651,Nina Hidayat,Tinggi,Formal,Yatim,Sedikit,Sedang,Tinggi,Banyak,Ada,Tidak Ada,Tidak Ada,Tidak Layak
P0652,Mira Setiawan,Sangat Rendah,Tidak Bekerja,Lengkap,Sedang,Rendah,Sedang,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Layak
P0764,Joko Sari,Menengah,Informal,Yatim,Banyak,Tinggi,Sedang,Tidak Ada,Ada,Tidak Ada,Ada,Layak
P0765,Gina Saputra,Rendah,Formal,Yatim,Sedang,Tinggi,Sedang,Sedikit,Ada,Ada,Ada,Layak
P0766,Putra Wijaya,Menengah,Formal,Single Parent,Sedikit,Tinggi,Rendah,Sedikit,Tidak Ada,Ada,Ada,Tidak Layak
P0767,Hadi Hidayat,Sangat Rendah,Tidak Bekerja,Single Parent,Banyak,Sedang,Tinggi,Sedikit,Ada,Tidak Ada,Ada,Tidak Layak
P0768,Oka Nugroho,Tinggi,Informal,Single Parent,Sedikit,Tinggi,Tinggi,Sedikit,Ada,Tidak Ada,Tidak Ada,Layak
P0769,Dedi Setiawan,Sangat Rendah,Tidak Bekerja,Lengkap,Sedikit,Rendah,Sedang,Banyak,Ada,Ada,Tidak Ada,Layak
P0770,Sari Wijaya,Rendah,Informal,Yatim Piatu,Banyak,Tinggi,Sedang,Sedikit,Ada,Ada,Tidak Ada,Tidak Layak
P0771,Gina Pratama,Tinggi,Formal,Lengkap,Sedang,Tinggi,Tinggi,Banyak,Tidak Ada,Ada,Ada,Layak
P0772,Fajar Pratama,Rendah,Formal,Yatim,Sedikit,Tinggi,Sedang,Sedikit,Ada,Ada,Ada,Layak
P0773,Budi Utami,Menengah,Tidak Bekerja,Lengkap,Sedikit,Tinggi,Sedang,Sedikit,Ada,Tidak Ada,Ada,Layak
P0774,Budi Rahman,Menengah,Formal,Single Parent,Sedang,Rendah,Tinggi,Sedikit,Tidak Ada,Tidak Ada,Ada,Layak
P0775,Umar Hidayat,Sangat Rendah,Tidak Bekerja,Yatim,Sedang,Rendah,Rendah,Banyak,Ada,Tidak Ada,Tidak Ada,Tidak Layak
P0776,Nina Wijaya,Sangat Rendah,Formal,Piatu,Sedang,Sedang,Tinggi,Tidak Ada,Tidak Ada,Tidak Ada,Ada,Layak
P0777,Kiki Hidayat,Rendah,Tidak Bekerja,Piatu,Banyak,Tinggi,Tinggi,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Layak
P0778,Citra Nugroho,Tinggi,Tidak Bekerja,Single Parent,Sedikit,Rendah,Sedang,Tidak Ada,Ada,Tidak Ada,Ada,Tidak Layak
P0779,Dedi Wijaya,Menengah,Informal,Yatim,Sedikit,Sedang,Rendah,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Layak
P0780,Fajar Nugroho,Menengah,Formal,Yatim Piatu,Sedikit,Tinggi,Sedang,Banyak,Tidak Ada,Tidak Ada,Ada,Layak
P0781,Rina Wijaya,Tinggi,Tidak Bekerja,Piatu,Banyak,Tinggi,Tinggi,Banyak,Tidak Ada,Tidak Ada,Ada,Layak
P0782,Fajar Sari,Rendah,Tidak Bekerja,Yatim Piatu,Banyak,Tinggi,Sedang,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Layak
P0783,Nina Nugroho,Menengah,Informal,Single Parent,Sedang,Sedang,Sedang,Banyak,Ada,Tidak Ada,Ada,Layak
P0784,Sari Sari,Sangat Rendah,Formal,Lengkap,Sedikit,Tinggi,Rendah,Tidak Ada,Ada,Ada,Ada,Layak
P0785,Andi Hidayat,Sangat Rendah,Informal,Single Parent,Banyak,Rendah,Sedang,Sedikit,Ada,Tidak Ada,Ada,Layak
P0786,Lina Wijaya,Menengah,Tidak Bekerja,Single Parent,Banyak,Tinggi,Rendah,Banyak,Tidak Ada,Ada,Ada,Tidak Layak
P0787,Dedi Putri,Menengah,Tidak Bekerja,Yatim Piatu,Sedang,Sedang,Rendah,Sedikit,Ada,Tidak Ada,Ada,Layak
P0788,Rina Saputra,Menengah,Informal,Piatu,Sedang,Rendah,Rendah,Banyak,Tidak Ada,Ada,Tidak Ada,Layak
P0789,Andi Nugroho,Tinggi,Formal,Yatim Piatu,Sedikit,Sedang,Rendah,Banyak,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P0790,Putra Saputra,Rendah,Informal,Piatu,Sedikit,Rendah,Sedang,Sedikit,Ada,Ada,Ada,Layak
P0791,Sari Putri,Rendah,Formal,Piatu,Sedikit,Sedang,Sedang,Sedikit,Tidak Ada,Tidak Ada,Tidak Ada,Layak
P0792,Gina Pratama,Sangat Rendah,Informal,Yatim Piatu,Sedikit,Rendah,Sedang,Banyak,Tidak Ada,Ada,Tidak Ada,Layak
P0793,Putra Putri,Rendah,Informal,Lengkap,Sedikit,Sedang,Sedang,Banyak,Tidak Ada,Ada,Ada,Layak
P0794,Mira Wijaya,Sangat Rendah,Informal,Yatim Piatu,Banyak,Sedang,Tinggi,Banyak,Ada,Tidak Ada,Tidak Ada,Layak
P0795,Kiki Hidayat,Sangat Rendah,Tidak Bekerja,Lengkap,Sedikit,Rendah,Sedang,Banyak,Ada,Ada,Ada,Layak
P0796,Fajar Rahman,Sangat Rendah,Informal,Yatim Piatu,Sedang,Sedang,Sedang,Tidak Ada,Tidak Ada,Ada,Ada,Layak
P0797,Rina Setiawan,Menengah,Tidak Bekerja,Piatu,Banyak,Rendah,Tinggi,Sedikit,Ada,Tidak Ada,Ada,Layak
P0798,Gina Wijaya,Rendah,Tidak Bekerja,Single Parent,Banyak,Tinggi,Rendah,Tidak Ada,Ada,Ada,Tidak Ada,Tidak Layak
P0799,Nina Sari,Tinggi,Tidak Bekerja,Single Parent,Sedikit,Rendah,Rendah,Sedikit,Tidak Ada,Tidak Ada,Ada,Tidak Layak
P0800,Nina Rahman,Sangat Rendah,Formal,Yatim Piatu,Banyak,Rendah,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
