kode_pendaftar,nama,penghasilan,pekerjaan,status,tanggungan,nilai_raport,nilai_tes,prestasi,pkh,kks,kip,target
P088,Joko,Sangat Rendah,Tidak Bekerja,Piatu,Sedikit,Tinggi,Rendah,Sedikit,Ada,Ada,Tidak Ada,Tidak Layak
P090,Indah,Rendah,Tidak Bekerja,Yatim,Sedikit,Tinggi,Sedang,Banyak,Ada,Tidak Ada,Ada,Layak
P091,Tono,Tinggi,Informal,Lengkap,Sedang,Sedang,Tinggi,Banyak,Ada,Ada,Tidak Ada,Layak
P092,Mira,Menengah,Formal,Yatim Piatu,Banyak,Sedang,Sedang,Sedikit,Ada,Tidak Ada,Tidak Ada,Layak
P093,Budi,Menengah,Formal,Piatu,Banyak,Sedang,Rendah,Banyak,Tidak Ada,Tidak Ada,Ada,Layak
P094,Budi,Tinggi,Informal,Yatim,Banyak,Sedang,Rendah,Banyak,Ada,Tidak Ada,Ada,Tidak Layak
P095,Fajar,Menengah,Informal,Lengkap,Banyak,Sedang,Tinggi,Tidak ada,Ada,Tidak Ada,Tidak Ada,Layak
P097,Andi,Menengah,Tidak Bekerja,Yatim Piatu,Sedikit,Rendah,Rendah,Banyak,Tidak Ada,Tidak Ada,Ada,Layak
P098,Hadi,Menengah,Formal,Lengkap,Sedang,Sedang,Tinggi,Banyak,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P099,Dedi,Tinggi,Tidak Bekerja,Single Parent,Banyak,Sedang,Tinggi,Tidak ada,Ada,Tidak Ada,Tidak Ada,Layak
P100,Sari,Rendah,Tidak Bekerja,Lengkap,Sedang,Sedang,Rendah,Tidak ada,Ada,Ada,Tidak Ada,Layak
P102,Dedi,Tinggi,Informal,Yatim,Sedang,Rendah,Tinggi,Sedikit,Tidak Ada,Ada,Tidak Ada,Tidak Layak
P104,Eka,Rendah,Tidak Bekerja,Single Parent,Sedikit,Tinggi,Rendah,Tidak ada,Tidak Ada,Ada,Ada,Layak
P105,Hadi,Rendah,Formal,Piatu,Sedikit,Rendah,Tinggi,Tidak ada,Ada,Ada,Tidak Ada,Layak
P106,Lina,Menengah,Tidak Bekerja,Yatim,Sedang,Rendah,Rendah,Banyak,Tidak Ada,Ada,Ada,Layak
P108,Indah,Tinggi,Informal,Lengkap,Sedang,Tinggi,Sedang,Tidak ada,Ada,Tidak Ada,Ada,Tidak Layak
P110,Kiki,Rendah,Informal,Yatim Piatu,Sedikit,Sedang,Sedang,Sedikit,Tidak Ada,Tidak Ada,Ada,Layak
P111,Lina,Menengah,Informal,Yatim,Banyak,Sedang,Rendah,Tidak ada,Ada,Ada,Tidak Ada,Tidak Layak
P112,Nina,Rendah,Formal,Lengkap,Banyak,Tinggi,Tinggi,Sedikit,Ada,Tidak Ada,Tidak Ada,Layak
P113,Dedi,Sangat Rendah,Informal,Single Parent,Sedang,Sedang,Rendah,Banyak,Ada,Ada,Tidak Ada,Layak
P114,Indah,Menengah,Formal,Piatu,Sedikit,Sedang,Tinggi,Tidak ada,Tidak Ada,Ada,Tidak Ada,Tidak Layak
P116,Kiki,Sangat Rendah,Formal,Single Parent,Sedikit,Sedang,Sedang,Sedikit,Tidak Ada,Ada,Tidak Ada,Layak
P117,Putra,Sangat Rendah,Tidak Bekerja,Yatim,Sedikit,Tinggi,Rendah,Banyak,Ada,Tidak Ada,Tidak Ada,Layak
P118,Tono,Tinggi,Informal,Piatu,Sedikit,Tinggi,Rendah,Sedikit,Tidak Ada,Ada,Tidak Ada,Tidak Layak
P120,Hadi,Rendah,Informal,Piatu,Sedang,Rendah,Rendah,Sedikit,Tidak Ada,Ada,Ada,Layak
P121,Tono,Menengah,Tidak Bekerja,Yatim Piatu,Banyak,Rendah,Sedang,Tidak ada,Tidak Ada,Ada,Tidak Ada,Layak
P124,Eka,Menengah,Tidak Bekerja,Lengkap,Banyak,Tinggi,Rendah,Banyak,Ada,Tidak Ada,Tidak Ada,Layak
P125,Putra,Rendah,Tidak Bekerja,Yatim,Sedang,Rendah,Rendah,Banyak,Ada,Ada,Ada,Layak
P126,Putra,Tinggi,Formal,Single Parent,Sedang,Tinggi,Tinggi,Banyak,Tidak Ada,Tidak Ada,Ada,Layak
P127,Budi,Tinggi,Formal,Piatu,Sedang,Tinggi,Rendah,Sedikit,Ada,Tidak Ada,Tidak Ada,Tidak Layak
P128,Tono,Menengah,Informal,Lengkap,Banyak,Rendah,Tinggi,Banyak,Tidak Ada,Tidak Ada,Ada,Layak
P129,Citra,Rendah,Informal,Single Parent,Sedang,Tinggi,Rendah,Tidak ada,Tidak Ada,Ada,Tidak Ada,Layak
P131,Mira,Tinggi,Informal,Single Parent,Sedikit,Tinggi,Tinggi,Sedikit,Ada,Tidak Ada,Ada,Layak
P132,Mira,Menengah,Informal,Single Parent,Sedikit,Sedang,Rendah,Banyak,Ada,Tidak Ada,Tidak Ada,Layak
P133,Nina,Rendah,Formal,Lengkap,Sedang,Tinggi,Sedang,Banyak,Tidak Ada,Ada,Ada,Layak
P134,Eka,Menengah,Tidak Bekerja,Piatu,Sedang,Rendah,Rendah,Sedikit,Tidak Ada,Ada,Ada,Layak
P135,Eka,Sangat Rendah,Informal,Lengkap,Banyak,Tinggi,Tinggi,Banyak,Ada,Tidak Ada,Ada,Layak
P136,Umar,Rendah,Tidak Bekerja,Single Parent,Sedikit,Tinggi,Sedang,Tidak ada,Tidak Ada,Tidak Ada,Ada,Layak
P138,Budi,Tinggi,Informal,Piatu,Sedang,Tinggi,Tinggi,Sedikit,Ada,Ada,Ada,Layak
P139,Rina,Tinggi,Informal,Single Parent,Sedikit,Tinggi,Tinggi,Tidak ada,Tidak Ada,Ada,Ada,Layak
P141,Putra,Tinggi,Tidak Bekerja,Piatu,Sedikit,Rendah,Sedang,Tidak ada,Tidak Ada,Ada,Ada,Layak
P142,Sari,Rendah,Formal,Yatim Piatu,Sedang,Tinggi,Rendah,Tidak ada,Ada,Tidak Ada,Ada,Layak
P143,Putra,Tinggi,Tidak Bekerja,Piatu,Sedikit,Sedang,Rendah,Tidak ada,Ada,Tidak Ada,Tidak Ada,Layak
P144,Hadi,Sangat Rendah,Formal,Single Parent,Banyak,Rendah,Tinggi,Tidak ada,Tidak Ada,Tidak Ada,Ada,Layak
P145,Mira,Tinggi,Tidak Bekerja,Lengkap,Banyak,Sedang,Rendah,Banyak,Ada,Tidak Ada,Tidak Ada,Layak
P146,Sari,Menengah,Informal,Lengkap,Sedang,Rendah,Sedang,Tidak ada,Ada,Tidak Ada,Ada,Tidak Layak
P148,Gina,Sangat Rendah,Informal,Yatim,Sedikit,Rendah,Rendah,Sedikit,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P149,Mira,Menengah,Informal,Lengkap,Banyak,Sedang,Sedang,Tidak ada,Tidak Ada,Tidak Ada,Tidak Ada,Layak
P150,Umar,Menengah,Tidak Bekerja,Yatim Piatu,Banyak,Sedang,Sedang,Banyak,Tidak Ada,Ada,Tidak Ada,Tidak Layak
P151,Nina,Rendah,Formal,Piatu,Sedang,Rendah,Rendah,Sedikit,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P152,Budi,Rendah,Formal,Yatim Piatu,Sedang,Sedang,Rendah,Banyak,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P153,Oka,Sangat Rendah,Formal,Yatim Piatu,Sedang,Tinggi,Tinggi,Banyak,Ada,Ada,Ada,Layak
P154,Lina,Sangat Rendah,Tidak Bekerja,Lengkap,Sedikit,Tinggi,Sedang,Sedikit,Tidak Ada,Ada,Ada,Layak
P155,Dedi,Menengah,Informal,Lengkap,Banyak,Rendah,Tinggi,Sedikit,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P156,Gina,Sangat Rendah,Formal,Yatim,Sedang,Tinggi,Sedang,Banyak,Ada,Tidak Ada,Tidak Ada,Layak
P157,Kiki,Menengah,Formal,Yatim Piatu,Sedikit,Rendah,Rendah,Tidak ada,Tidak Ada,Ada,Tidak Ada,Layak
P158,Dedi,Menengah,Formal,Lengkap,Banyak,Tinggi,Sedang,Sedikit,Ada,Ada,Tidak Ada,Layak
P160,Kiki,Sangat Rendah,Informal,Yatim Piatu,Banyak,Tinggi,Sedang,Banyak,Tidak Ada,Tidak Ada,Ada,Layak
P161,Budi,Sangat Rendah,Informal,Yatim Piatu,Banyak,Tinggi,Sedang,Tidak ada,Ada,Ada,Tidak Ada,Layak
P162,Indah,Sangat Rendah,Formal,Yatim,Sedang,Rendah,Rendah,Sedikit,Ada,Tidak Ada,Tidak Ada,Layak
P163,Umar,Rendah,Formal,Single Parent,Sedang,Rendah,Tinggi,Sedikit,Ada,Ada,Ada,Tidak Layak
P164,Andi,Menengah,Formal,Lengkap,Sedikit,Rendah,Rendah,Banyak,Tidak Ada,Ada,Tidak Ada,Layak
P165,Budi,Tinggi,Formal,Single Parent,Sedang,Tinggi,Sedang,Sedikit,Ada,Tidak Ada,Tidak Ada,Layak
P166,Lina,Rendah,Informal,Yatim Piatu,Sedang,Sedang,Rendah,Sedikit,Ada,Tidak Ada,Tidak Ada,Layak
P167,Hadi,Tinggi,Tidak Bekerja,Piatu,Banyak,Tinggi,Rendah,Sedikit,Ada,Tidak Ada,Ada,Tidak Layak
P169,Rina,Rendah,Tidak Bekerja,Yatim Piatu,Banyak,Sedang,Sedang,Sedikit,Tidak Ada,Ada,Ada,Layak
P170,Andi,Tinggi,Tidak Bekerja,Yatim,Banyak,Sedang,Rendah,Tidak ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P171,Sari,Sangat Rendah,Informal,Yatim,Sedang,Tinggi,Sedang,Sedikit,Tidak Ada,Ada,Tidak Ada,Tidak Layak
P172,Dedi,Rendah,Informal,Single Parent,Sedang,Rendah,Sedang,Banyak,Tidak Ada,Tidak Ada,Ada,Tidak Layak
P173,Kiki,Tinggi,Informal,Piatu,Banyak,Sedang,Rendah,Tidak ada,Tidak Ada,Ada,Ada,Layak
P174,Umar,Tinggi,Formal,Yatim Piatu,Sedikit,Tinggi,Tinggi,Tidak ada,Tidak Ada,Tidak Ada,Ada,Layak
P175,Dedi,Menengah,Formal,Piatu,Banyak,Tinggi,Tinggi,Sedikit,Tidak Ada,Tidak Ada,Ada,Layak
P176,Tono,Tinggi,Formal,Piatu,Banyak,Tinggi,Tinggi,Tidak ada,Tidak Ada,Tidak Ada,Ada,Layak
P177,Dedi,Tinggi,Tidak Bekerja,Single Parent,Banyak,Tinggi,Tinggi,Sedikit,Ada,Ada,Ada,Layak
P178,Budi,Rendah,Tidak Bekerja,Yatim Piatu,Sedang,Sedang,Rendah,Sedikit,Ada,Tidak Ada,Tidak Ada,Layak
P179,Sari,Rendah,Formal,Yatim,Banyak,Sedang,Tinggi,Sedikit,Tidak Ada,Tidak Ada,Ada,Layak
P181,Indah,Menengah,Tidak Bekerja,Piatu,Sedang,Tinggi,Rendah,Banyak,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P182,Citra,Menengah,Tidak Bekerja,Single Parent,Banyak,Tinggi,Sedang,Sedikit,Tidak Ada,Ada,Tidak Ada,Tidak Layak
P183,Tono,Menengah,Informal,Piatu,Banyak,Sedang,Rendah,Tidak ada,Tidak Ada,Tidak Ada,Ada,Tidak Layak
P184,Putra,Rendah,Tidak Bekerja,Lengkap,Banyak,Tinggi,Rendah,Banyak,Ada,Ada,Ada,Layak
P185,Joko,Sangat Rendah,Formal,Yatim,Sedikit,Tinggi,Rendah,Sedikit,Tidak Ada,Tidak Ada,Ada,Layak
P186,Fajar,Menengah,Informal,Lengkap,Sedikit,Tinggi,Tinggi,Tidak ada,Ada,Ada,Tidak Ada,Layak
P187,Kiki,Sangat Rendah,Informal,Yatim Piatu,Sedikit,Tinggi,Sedang,Tidak ada,Ada,Tidak Ada,Ada,Layak
P188,Kiki,Menengah,Informal,Single Parent,Banyak,Sedang,Rendah,Banyak,Tidak Ada,Tidak Ada,Ada,Layak
P190,Putra,Rendah,Formal,Yatim Piatu,Sedang,Tinggi,Sedang,Tidak ada,Tidak Ada,Ada,Ada,Layak
P191,Tono,Menengah,Tidak Bekerja,Lengkap,Sedang,Sedang,Rendah,Sedikit,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Layak
P193,Oka,Menengah,Formal,Lengkap,Banyak,Sedang,Sedang,Banyak,Ada,Ada,Ada,Layak
P194,Lina,Menengah,Informal,Single Parent,Sedang,Tinggi,Tinggi,Tidak ada,Ada,Ada,Tidak Ada,Layak
P195,Oka,Sangat Rendah,Formal,Lengkap,Sedikit,Tinggi,Tinggi,Tidak ada,Ada,Ada,Tidak Ada,Layak
P197,Gina,Tinggi,Formal,Lengkap,Banyak,Sedang,Tinggi,Sedikit,Ada,Tidak Ada,Tidak Ada,Layak
P198,Nina,Sangat Rendah,Tidak Bekerja,Yatim Piatu,Sedang,Tinggi,Rendah,Banyak,Ada,Ada,Tidak Ada,Tidak Layak
P200,Oka,Sangat Rendah,Tidak Bekerja,Single Parent,Sedang,Tinggi,Rendah,Banyak,Ada,Ada,Ada,Layak
